# Week 2 crawl of live Wikipedia, 2026-09-08. Edge A -> B when the article of A links to the article of B; both in data/week2_nodes.tsv. 602 nodes, 4082 edges.
source	target
Bucky_(Marvel_Comics)	Jack_Monroe_(character)
Bucky_(Marvel_Comics)	Jeffrey_Mace
Bucky_(Marvel_Comics)	Nomad_(Marvel_Comics)
Bucky_(Marvel_Comics)	Nuke_(Marvel_Comics)
Bucky_(Marvel_Comics)	Power_Broker_(character)
Bucky_(Marvel_Comics)	Rikki_Barnes
Bucky_(Marvel_Comics)	Sin_(Marvel_Comics)
Bucky_(Marvel_Comics)	U.S._Agent
Bucky_(Marvel_Comics)	War_Machine
Bucky_(Marvel_Comics)	William_Burnside_(character)
Bug_(Marvel_Comics)	Genis-Vell
Bug_(Marvel_Comics)	Moondragon
Bug_(Marvel_Comics)	Rocket_Raccoon
Bug_(Marvel_Comics)	Star-Lord
Bulldozer_(character)	Beyonder
Bulldozer_(character)	Ghost_Rider_(Danny_Ketch)
Bulldozer_(character)	Hercules_(Marvel_Comics)
Bulldozer_(character)	Iron_Fist_(character)
Bulldozer_(character)	Piledriver_(character)
Bulldozer_(character)	She-Hulk
Bulldozer_(character)	Spider-Man
Bulldozer_(character)	Thunderball_(character)
Bulldozer_(character)	Ulik
Bulldozer_(character)	Wrecker_(comics)
Bullseye_(Marvel_Comics)	Black_Widow_(Natasha_Romanova)
Bullseye_(Marvel_Comics)	Deadpool
Bullseye_(Marvel_Comics)	Hawkeye_(comics)
Bullseye_(Marvel_Comics)	Karla_Sofen
Bullseye_(Marvel_Comics)	Norman_Osborn
Bullseye_(Marvel_Comics)	Wolverine_(character)
Bushman_(character)	Moon_Knight
Bushman_(character)	Scarecrow_(Marvel_Comics)
Bushwacker_(comics)	Deathlok
Bushwacker_(comics)	Doctor_Strange
Bushwacker_(comics)	Eddie_Brock
Bushwacker_(comics)	G._W._Bridge
Bushwacker_(comics)	Hulk
Bushwacker_(comics)	Jack_Monroe_(character)
Bushwacker_(comics)	Jackal_(Marvel_Comics_character)
Bushwacker_(comics)	Wolverine_(character)
Cable_(character)	Apocalypse_(character)
Cable_(character)	Betsy_Braddock
Cable_(character)	Cyclops_(Marvel_Comics)
