# Week 2 crawl of live Wikipedia, 2026-09-08. Heroes = the frozen week-1 roster, villains = Category:Marvel Comics supervillains (no redirects, lists, teams or disambiguation pages).
# side: hero | villain | both. debut_year from the infobox, blank when not found.
node_id	name	side	debut_year	url
Elsa_Bloodstone	Elsa Bloodstone	hero	2001	https://en.wikipedia.org/wiki/Elsa_Bloodstone
Emma_Frost	Emma Frost	both	1980	https://en.wikipedia.org/wiki/Emma_Frost
Empath_(character)	Empath (character)	both	1984	https://en.wikipedia.org/wiki/Empath_%28character%29
Emrys_Killebrew	Emrys Killebrew	hero	1994	https://en.wikipedia.org/wiki/Emrys_Killebrew
Enigma_(Marvel_Comics)	Enigma (Marvel Comics)	hero		https://en.wikipedia.org/wiki/Enigma_%28Marvel_Comics%29
Equinox_(comics)	Equinox (comics)	villain	1974	https://en.wikipedia.org/wiki/Equinox_%28comics%29
Ethan_Edwards	Ethan Edwards	hero	2005	https://en.wikipedia.org/wiki/Ethan_Edwards
Fabio_Medina	Fabio Medina	hero	2013	https://en.wikipedia.org/wiki/Fabio_Medina
Fandral	Fandral	hero	1965	https://en.wikipedia.org/wiki/Fandral
Farley_Stillwell	Farley Stillwell	villain	1965	https://en.wikipedia.org/wiki/Farley_Stillwell
Father_Time_(Marvel_Comics)	Father Time (Marvel Comics)	hero	1941	https://en.wikipedia.org/wiki/Father_Time_%28Marvel_Comics%29
Fin_Fang_Foom	Fin Fang Foom	both	1961	https://en.wikipedia.org/wiki/Fin_Fang_Foom
Firebird_(Marvel_Comics)	Firebird (Marvel Comics)	hero	1981	https://en.wikipedia.org/wiki/Firebird_%28Marvel_Comics%29
Firebrand_(Marvel_Comics)	Firebrand (Marvel Comics)	villain	1970	https://en.wikipedia.org/wiki/Firebrand_%28Marvel_Comics%29
Firelord_(character)	Firelord (character)	hero	1974	https://en.wikipedia.org/wiki/Firelord_%28character%29
Firepower_(comics)	Firepower (comics)	villain	1988	https://en.wikipedia.org/wiki/Firepower_%28comics%29
Flag-Smasher	Flag-Smasher	villain	1985	https://en.wikipedia.org/wiki/Flag-Smasher
Flatman_(character)	Flatman (character)	hero	1989	https://en.wikipedia.org/wiki/Flatman_%28character%29
Flying_Tiger_(Marvel_Comics)	Flying Tiger (Marvel Comics)	villain	1981	https://en.wikipedia.org/wiki/Flying_Tiger_%28Marvel_Comics%29
Force_(comics)	Force (comics)	both	1972	https://en.wikipedia.org/wiki/Force_%28comics%29
Forearm_(comics)	Forearm (comics)	villain	1990	https://en.wikipedia.org/wiki/Forearm_%28comics%29
Foreigner_(character)	Foreigner (character)	villain	1986	https://en.wikipedia.org/wiki/Foreigner_%28character%29
Frankenstein's_Monster_(Marvel_Comics)	Frankenstein's Monster (Marvel Comics)	hero	1953	https://en.wikipedia.org/wiki/Frankenstein%27s_Monster_%28Marvel_Comics%29
Franklin_Richards_(character)	Franklin Richards (character)	hero	1968	https://en.wikipedia.org/wiki/Franklin_Richards_%28character%29
Frog-Man	Frog-Man	hero	1982	https://en.wikipedia.org/wiki/Frog-Man
Fury_(Marvel_Comics)	Fury (Marvel Comics)	villain	1982	https://en.wikipedia.org/wiki/Fury_%28Marvel_Comics%29
G._W._Bridge	G. W. Bridge	hero	1991	https://en.wikipedia.org/wiki/G._W._Bridge
Gargoyle_(comics)	Gargoyle (comics)	both	1962	https://en.wikipedia.org/wiki/Gargoyle_%28comics%29
Garokk	Garokk	villain	1970	https://en.wikipedia.org/wiki/Garokk
Garrison_Kane	Garrison Kane	hero	1991	https://en.wikipedia.org/wiki/Garrison_Kane
Gauntlet_(Joseph_Green)	Gauntlet (Joseph Green)	hero	2006	https://en.wikipedia.org/wiki/Gauntlet_%28Joseph_Green%29
Gemini_(Marvel_Comics)	Gemini (Marvel Comics)	villain	1970	https://en.wikipedia.org/wiki/Gemini_%28Marvel_Comics%29
Genis-Vell	Genis-Vell	hero	1993	https://en.wikipedia.org/wiki/Genis-Vell
Gentleman_(character)	Gentleman (character)	villain	1999	https://en.wikipedia.org/wiki/Gentleman_%28character%29
Ghost_Rider	Ghost Rider	hero	1972	https://en.wikipedia.org/wiki/Ghost_Rider
Ghost_Rider_(Danny_Ketch)	Ghost Rider (Danny Ketch)	hero	1990	https://en.wikipedia.org/wiki/Ghost_Rider_%28Danny_Ketch%29
Ghost_Rider_(Johnny_Blaze)	Ghost Rider (Johnny Blaze)	hero	1972	https://en.wikipedia.org/wiki/Ghost_Rider_%28Johnny_Blaze%29
Gideon_Mace	Gideon Mace	villain	1972	https://en.wikipedia.org/wiki/Gideon_Mace
Giganto	Giganto	villain	1961	https://en.wikipedia.org/wiki/Giganto
Gladiator_(Kallark)	Gladiator (Kallark)	hero	1977	https://en.wikipedia.org/wiki/Gladiator_%28Kallark%29
Gladiator_(Melvin_Potter)	Gladiator (Melvin Potter)	villain	1966	https://en.wikipedia.org/wiki/Gladiator_%28Melvin_Potter%29
Glenn_Talbot	Glenn Talbot	villain	1964	https://en.wikipedia.org/wiki/Glenn_Talbot
Glob_(comics)	Glob (comics)	villain	1969	https://en.wikipedia.org/wiki/Glob_%28comics%29
Glob_Herman	Glob Herman	villain	2001	https://en.wikipedia.org/wiki/Glob_Herman
Golem_(Marvel_Comics)	Golem (Marvel Comics)	both	1974	https://en.wikipedia.org/wiki/Golem_%28Marvel_Comics%29
Gorgon_(Inhuman)	Gorgon (Inhuman)	both	1965	https://en.wikipedia.org/wiki/Gorgon_%28Inhuman%29
Gorr_the_God_Butcher	Gorr the God Butcher	villain	2013	https://en.wikipedia.org/wiki/Gorr_the_God_Butcher
Grappler_(comics)	Grappler (comics)	villain	1981	https://en.wikipedia.org/wiki/Grappler_%28comics%29
Green_Goblin	Green Goblin	villain	1964	https://en.wikipedia.org/wiki/Green_Goblin
Gremlin_(comics)	Gremlin (comics)	both	1973	https://en.wikipedia.org/wiki/Gremlin_%28comics%29
Grizzly_(comics)	Grizzly (comics)	villain	1964	https://en.wikipedia.org/wiki/Grizzly_%28comics%29
Grog_(Marvel_Comics)	Grog (Marvel Comics)	villain	1988	https://en.wikipedia.org/wiki/Grog_%28Marvel_Comics%29
Guardian_(Marvel_Comics)	Guardian (Marvel Comics)	hero	1978	https://en.wikipedia.org/wiki/Guardian_%28Marvel_Comics%29
Guardsman_(character)	Guardsman (character)	both	1970	https://en.wikipedia.org/wiki/Guardsman_%28character%29
Gwenpool	Gwenpool	hero	2015	https://en.wikipedia.org/wiki/Gwenpool
